Threshold,FPR,TPR
0.41797150831039154,0.103,0.8716959565652236
0.4156438559769082,0.103,0.8726960994427775
0.41544830696903245,0.1035,0.8726960994427775
0.41533308688035153,0.1035,0.8729818545506501
0.415108718061069,0.104,0.8729818545506501
0.41351698583558283,0.104,0.873410487212459
0.4134597176026814,0.1045,0.873410487212459
0.4115839396345974,0.1045,0.8742677525360766
0.4110296522031211,0.1055,0.8742677525360766
0.41098562261132987,0.1055,0.8744106300900129
0.4109098791714076,0.106,0.8744106300900129
0.41068561532939707,0.106,0.8745535076439491
0.41058072518298855,0.1065,0.8745535076439491
0.4079738530072278,0.1065,0.8761251607372482
0.4078497918369261,0.107,0.8761251607372482
0.4062351973225266,0.107,0.876553793399057
0.4058616264392342,0.1075,0.876553793399057
0.40518038042850146,0.1075,0.8768395485069296
0.40479621367738694,0.1085,0.8768395485069296
0.4040070760041601,0.1085,0.8771253036148021
0.40329333348732643,0.1095,0.8771253036148021
0.40199319931250577,0.1095,0.8779825689384197
0.4014500365996383,0.11,0.8779825689384197
0.39681853784133747,0.11,0.8792684669238463
0.3964601329782951,0.1105,0.8792684669238463
0.39625175103582877,0.1105,0.8794113444777826
0.3955505716469182,0.111,0.8794113444777826
